Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
55.859,0.00,0.00,-1.50,1.52
55.995,0.00,0.00,-1.50,-3.69
56.130,0.02,0.00,-1.50,-3.69
56.264,0.02,0.00,-1.50,-3.69
56.400,0.02,0.00,5.56,-3.69
56.535,0.02,0.00,5.56,-4.12
56.670,0.03,0.00,5.56,-4.12
56.819,0.03,25.00,5.56,-4.12
56.955,0.03,25.00,9.09,-4.12
57.092,0.03,25.00,9.09,-1.08
57.225,0.00,25.00,9.09,-1.08
57.375,0.00,50.99,9.09,-1.08
57.510,0.00,50.99,8.41,-1.08
57.660,0.00,50.99,8.41,1.95
57.795,0.00,50.99,8.41,1.95
57.947,0.00,49.34,8.41,1.95
58.095,0.00,49.34,9.59,1.95
58.230,0.00,49.34,9.59,2.39
58.368,0.00,49.34,9.59,2.39
58.502,0.00,41.56,9.59,2.39
58.650,0.00,41.56,5.66,2.39
58.786,0.00,41.56,5.66,-0.22
58.934,0.02,41.56,5.66,-0.22
59.101,0.02,0.00,5.66,-0.22
59.234,0.02,0.00,-4.83,-0.22
59.386,0.02,0.00,-4.83,-1.74
59.535,0.00,0.00,-4.83,-1.74
59.670,0.00,38.58,-4.83,-1.74
59.804,0.00,38.58,-8.51,-1.74
59.955,0.00,38.58,-8.51,-0.43
60.090,0.00,38.58,-8.51,-0.43
60.225,0.00,0.00,-8.51,-0.43
60.375,0.00,0.00,-9.62,-0.43
60.540,0.00,0.00,-9.62,-2.82
60.705,0.01,0.00,-9.62,-2.82
60.855,0.01,26.32,-9.62,-2.82
61.020,0.01,26.32,-7.20,-2.82
61.155,0.01,26.32,-7.20,-0.43
61.305,0.00,26.32,-7.20,-0.43
61.455,0.00,34.44,-7.20,-0.43
61.604,0.00,34.44,-8.03,-0.43
61.739,0.00,34.44,-8.03,0.43
61.874,0.00,34.44,-8.03,0.43
62.024,0.00,49.67,-8.03,0.43
62.174,0.00,49.67,-7.99,0.43
